title,source,published,url
'Threat of Russia cannot be ignored' Starmer tells BBC as he unveils defence spending plans,bbc-news,2025-06-02T05:38:30Z,https://www.bbc.co.uk/news/live/cz63y1yldq2t
Mass protests against Trump across US as president holds military parade,bbc-news,2025-06-14T18:53:09Z,https://www.bbc.co.uk/news/articles/c70622038yxo
Edgar Lungu: Zambia's former president dies aged 68,bbc-news,2025-06-05T12:59:35Z,https://www.bbc.co.uk/news/articles/cn4gp07y3xmo
Elon Musk bids farewell to White House but says Doge will continue,bbc-news,2025-05-29T01:26:10Z,https://www.bbc.co.uk/news/articles/cz9y4exj822o
Trump and Musk enter bitter feud - and Washington buckles up,bbc-news,2025-06-05T19:11:23Z,https://www.bbc.co.uk/news/articles/c3wd2215q08o
Tesla shares hit as Trump-Musk feud explodes,bbc-news,2025-06-06T06:47:24Z,https://www.bbc.co.uk/news/articles/cy902rv7q8do
Edgar Lungu: Zambian ex-president's family settle funeral row with government,bbc-news,2025-06-16T12:00:42Z,https://www.bbc.co.uk/news/articles/c1kvkwdp1xzo
Edgar Lungu funeral row causes chaos for mourners of Zambia's ex-president,bbc-news,2025-06-11T04:36:35Z,https://www.bbc.co.uk/news/articles/czr8jz0jxn3o
Ramaphosa survives Trump ambush over 'white genocide',bbc-news,2025-05-22T00:46:14Z,https://www.bbc.co.uk/news/articles/cz9yyd2epk2o
Cyril Ramaphosa: Rebuked by Donald Trump but praised in South Africa,bbc-news,2025-05-24T06:23:48Z,https://www.bbc.co.uk/news/articles/c2e3z8v1rvlo
King’s Birthday Honours 2025: Gary Oldman and Strictly hosts Tess and Claudia join David Beckham,bbc-news,2025-06-13T21:30:07Z,https://www.bbc.co.uk/news/articles/cly30wpz01po
Trump 'disappointed' with Elon Musk's attacks on budget bill,bbc-news,2025-06-05T16:44:43Z,https://www.bbc.co.uk/news/articles/c5yg98rl717o
Trump and Musk: The 10 days that unravelled their relationship,bbc-news,2025-06-06T18:57:24Z,https://www.bbc.co.uk/news/articles/clyr7v79q4yo
Edgar Lungu funeral: Zambia's ex-president left instructions that Hichilema should stay away,bbc-news,2025-06-12T15:12:33Z,https://www.bbc.co.uk/news/articles/cn4qe2gnl5no
Tesla sales slumping in Europe,cnn,2025-05-27T14:35:41Z,https://www.cnn.com/2025/05/27/business/video/tesla-europe-sales-slump-cooban-live-ctw-052709aseg2-cnni-business?cid=external-feeds_iluminar_yahoo
